Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Necklace design (product.metafields.shopify.necklace-design),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Included / america,Price / america,Compare At Price / america,Status
bamboo-bangle,,,,,,,,,silver,,,3,,,,,,0.0,shopify,0,continue,manual,999.00,1399.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/WhatsAppImage2024-09-01at12.29.55AM.jpg?v=1754350065,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
bamboo-bangle,,,,,,,,,silver,,,4,,,,,,0.0,shopify,0,continue,manual,999.00,1399.00,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
blingers,Blingers,<p>It doesn't even need piercings. Best for this Diwali or any traditional outfit</p>,vembley,Apparel & Accessories > Jewelry > Earrings,ear cuff,earcuffs,true,Color,Gold,,,,,,,,Blingers - gold,0.0,shopify,4,deny,manual,999.00,1699.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5298.png?v=1729988251,1,"",false,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,200.00,true,,,true,,,active
blingers,,,,,,,,,Silver,,,,,,,,Blingers - silver,0.0,shopify,4,deny,manual,999.00,1699.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-10-21-02h03m01s302.png?v=1729456658,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,200.00,,,,,,,
blingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5301_1.png?v=1729988280,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5303.png?v=1729988503,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blingers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5305.png?v=1729988474,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckle-up,Buckle Up,"<p>Cost of buckle up is 1299/-, pre-order cost is 699/-</p>
<p>We took inspiration from unexpected places for this one ;)</p>
<p>Buckle Up features a bold belt-buckle design, adding a touch of rebellious spirit to your everyday attire. It's where sleek sophistication meets industrial edge. This one is the perfect choice for those who crave statement bracelets that go beyond the ordinary. </p>
<p> </p>",tarohi,Apparel & Accessories > Jewelry > Bracelets,bracelet,bracelet,false,Title,Default Title,,,,,,,,buckle up,0.0,shopify,-2,deny,manual,699.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_1e288065-e1ad-4fc4-80b7-afdb6a3a3ce5.jpg?v=1717244194,1,"",false,,,191,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,draft
buckle-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_5226bd11-eea8-4138-8375-1e476b942c6b.jpg?v=1717244194,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buckle-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/3_4a4ec3eb-8c03-4d5e-b334-a86ae1e71c2d.jpg?v=1717244194,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterflies,Butterflies,"<p data-sourcepos=""5:1-5:112""><strong>Founder’s note :</strong><br>No piercings? No problem. I put these on and instantly felt like I needed a tiara. It looks like butterflies are literally floating on your ear. So lightweight you forget they’re on, but trust me—everyone else notices<br></p>
<p> </p>",vembley,Apparel & Accessories > Jewelry > Earrings,ear cuff,"ear, earcuffs",true,Material,Gold,,,,,,,,Butterflies - gold,0.0,shopify,23,deny,manual,999.00,1299.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_1d465bc2-455b-4f12-be7b-bf1b79abdfc9.jpg?v=1717243588,1,"",false,,butterfly earcuffs. No piercing earrings. Best gift for anniversary or birthdays. ,194,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
butterflies,,,,,,,,,Silver,,,,,,,,Butterflies - silver,0.0,shopify,20,deny,manual,999.00,1999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_07cd3e5b-3b3c-43f5-8099-4ffead8e7a92.jpg?v=1717243588,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,
butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/3_f201f358-1de8-4f44-ab2c-70a71d777cd6.jpg?v=1717243589,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/4_ba57d47f-9b21-4675-b2f0-78949275247b.jpg?v=1717243588,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/5_152a9137-7deb-4a0b-bf0c-885d02d7e23f.jpg?v=1717243588,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterflies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/6.jpg?v=1717243588,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,Caterpillar,"<p><strong>Founder’s note :</strong><br>These are our bestsellers—and once you wear one, you get why. The stones catch light so beautifully, and they add the perfect little glow to any outfit. I have one in every color (not even kidding), and they’re honestly one of the best things we’ve made. Easy to wear, easy to gift, always gets compliments.</p>",Strawb,Apparel & Accessories > Jewelry > Bracelets,bracelet,bracelet,true,Color,blue,product.metafields.shopify.color-pattern,,,,,,,"",0.0,shopify,2,continue,manual,1999.00,2899.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_2872.jpg?v=1746046186,1,"",false,,,,,,,,,,,,,,,teens; adults,bangle; tennis,blue; green; black; white; red,,stainless-steel,fine-jewelry; imitation-jewelry,,,,female,tennis-ring,"",ahead,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_2879.jpg?v=1746046186,kg,,,true,,,true,,,active
caterpillar,,,,,,,,,green,,,,,,,,Tennis - green,0.0,shopify,2,continue,manual,1999.00,2899.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_2879.jpg?v=1746046186,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vg1.jpg?v=1746043310,kg,,,,,,,,,
caterpillar,,,,,,,,,black,,,,,,,,Tennis - black,0.0,shopify,2,deny,manual,1999.00,2899.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/ve_chain_green.jpg?v=1746043310,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_7626.jpg?v=1746043310,kg,,,,,,,,,
caterpillar,,,,,,,,,white,,,,,,,,Tennis - white,0.0,shopify,0,deny,manual,1999.00,2899.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5839_1.jpg?v=1746043310,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_8526_1.jpg?v=1746043310,kg,,,,,,,,,
caterpillar,,,,,,,,,red,,,,,,,,Tennis - red,0.0,shopify,1,deny,manual,1999.00,3299.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_7626.jpg?v=1746043310,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/red.jpg?v=1746122787,kg,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_2878.jpg?v=1746043310,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vg1.jpg?v=1746043310,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_8526_1.jpg?v=1746043310,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/red.jpg?v=1746122787,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-10-02h24m58s359.png?v=1746122787,10,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5858.jpg?v=1746122787,11,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1-2_a7a85ddd-27b0-439e-83e8-19ec5984f07b.jpg?v=1746122787,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5197.png?v=1746122787,13,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_8534_1.jpg?v=1746122787,14,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-09-16-14h43m48s507.jpg?v=1746122787,15,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5030.jpg?v=1746122787,16,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpillar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5841_1.jpg?v=1746122787,17,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry,Cherry,"<p><strong>Founder’s note :</strong><br>She’s the cherry on top—literally. I’ve worn it to brunch, the mall, and a FaceTime date and it always gets love. Everyone who’s got it has loved it. It’s got that awww, so cute! effect. I’d gift this to literally anyone, because everyone looks cute in it, no exceptions. <br>(we’ve also got matching earrings hehe)</p>
<p> </p>",Strawb,Apparel & Accessories > Jewelry > Necklaces,pendant,pendant,true,Title,Default Title,,,,,,,,Cherry,50.0,shopify,-6,continue,manual,799.00,1399.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/cherry1.jpg?v=1749327131,1,"Cherry necklace, cherry pendant",false,,The perfect cherry necklace on top of your clothes,196,,,,,,,,,,,,,,red; brown,,stainless-steel,imitation-jewelry,pendant,,,unisex; female,cherry-earrings,"",ahead,,,kg,,118.00,true,,,true,,,active
cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2025-01-19-21h21m53s521.png?v=1749327131,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_5951.jpg?v=1749327131,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2024-11-16-20h30m05s522.jpg?v=1749327131,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-earrings,Cherry Earrings,"<p>Founder's Note :<br>A lil bit of sweetness! These sit just right on the ear—light, playful, and so fresh. The kind of piece that makes people go “omg where’d you get that?” Pairs <em data-start=""199"" data-end=""210"">perfectly</em> with our cherry necklace for that juicy little set moment.<br></p>",Strawb,Apparel & Accessories > Jewelry > Earrings,earring,ear,true,Title,Default Title,,,,,,,,cherry-earrings,60.0,shopify,4,deny,manual,699.00,999.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/ChatGPT_Image_May_9_2025_12_05_00_AM.jpg?v=1747321638,1,cherry earrings india,false,,"Cute cherry-shaped red earrings with a glossy red pop & gold finish. Waterproof and lightweight—perfect for gifting on Valentine's, anniversaries, or birthdays. ₹799
Water proof earrings. ",,,adult,,,TRUE,,,,,,TRUE,adults,,gold; red,stud; dangle,metal,imitation-jewelry,,,,female,cherry,"",ahead,,,kg,,120.00,true,,,true,,,active
cherry-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/c2.jpg?v=1750286373,2,cherry earrings india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/ce3.jpg?v=1753466706,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/ce6.jpg?v=1753466706,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/c4.jpg?v=1753466706,5,cherry earrings india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cherry-earrings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/c3.jpg?v=1753466706,6,cherry earrings india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-drama,Double The Drama,"<p><strong>Founder’s note :</strong><br>Life mein drama kam hai? Yeh lelo. Fixed. Double The Drama is sleek, golden, and basically made for turning heads. I love how they look luxe without trying too hard. Party fits, date nights, even dressing up denim—this one’s a vibe.</p>",Strawb,Apparel & Accessories > Jewelry > Earrings,earring,ear,true,Title,Default Title,,,,,,,,DoubleDrama,40.0,shopify,2,deny,manual,799.00,1299.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2025-01-08-01h06m12s468.jpg?v=1736279422,1,"",false,,Beautiful drop shaped earrings with gold plating. Best earrings for all occasions and best gift for her,,,adult,,,,,,,,,,adults,,gold,stud; drop,metal; gold,imitation-jewelry,,,,female,,,,,,kg,,120.00,true,,,true,,,active
double-drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2025-01-08-01h11m28s779.png?v=1736279422,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2025-01-08-01h05m33s841.jpg?v=1736279422,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
double-drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/vlcsnap-2025-01-08-01h10m10s961.png?v=1736279342,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drippin-gold,Drippin' Gold,"<p><strong>Founder’s note :</strong><br>These dangly earrings are so simple at first glance—and then they move, and you’re like okay wait, that’s cutee. I love how they add just the right oomph without being too much. Honestly makes such a good gift for anyone who keeps things simple but stylish.</p>",Strawb,Apparel & Accessories > Jewelry > Earrings,earring,ear,true,Title,Default Title,,,,,,,,DG,40.0,shopify,8,deny,manual,999.00,1299.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_8482.jpg?v=1734460059,1,"",false,,A dangly earring which you can gift your girlfriend or wife or buy for yourself ;),,,adult,,,,,,,,,,adults,,gold,stud,metal,imitation-jewelry,,,,female,,,,,,kg,,120.00,true,,,true,,,active
drippin-gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/IMG_6475.jpg?v=1734460059,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear-candy,Ear Candy,"<p><meta charset=""utf-8""><span id=""docs-internal-guid-65cee0fa-7fff-7f53-ed7b-05ce0e27358d"">candy without calories</span></p>",vembley,Apparel & Accessories > Jewelry > Earrings,earring,ear,true,Title,Default Title,,,,,,,,Ear candy,0.0,shopify,-1,deny,manual,899.00,1299.00,true,false,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_07a38ece-9c85-48c7-9b83-4b978b137ec8.webp?v=1734460237,1,"",false,,"An earring which looks exactly like candy, you won't be able to tell the difference. Pink studded gem earring for parties and black outfits",194,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ear-candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/1_b6acb37e-ba76-4f37-b4d3-199f917c0d72.jpg?v=1734460237,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear-candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/6_54c2466b-fb8f-4b55-b65a-4bf71b8eedba.jpg?v=1734460237,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear-candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0572/3137/6471/files/2_33075190-e80b-453e-aec0-d48bd8386a48.jpg?v=1734460237,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
